iter	Passed	Remaining
0	78	788189
1	164	822413
2	234	781428
3	299	749171
4	373	746545
5	446	743104
6	543	775811
7	617	770931
8	714	793346
9	821	820709
10	940	853700
11	1043	868158
12	1122	862117
13	1196	853357
14	1260	838816
15	1328	828825
16	1395	819398
17	1483	822655
18	1567	823252
19	1636	816748
20	1694	805250
21	1760	798509
22	1813	786791
23	1881	782153
24	1946	776743
25	2027	777696
26	2101	776338
27	2184	777823
28	2261	777514
29	2330	774600
30	2407	774217
31	2462	767139
32	2527	763531
33	2586	758154
34	2647	753709
35	2698	746938
36	2752	741272
37	2804	735120
38	2861	730905
39	2923	727931
40	2976	723095
41	3030	718416
42	3083	714039
43	3139	710374
44	3192	706249
45	3242	701736
46	3295	697860
47	3347	694137
48	3399	690462
49	3448	686201
50	3497	682335
51	3549	679016
52	3602	676041
53	3652	672796
54	3705	670053
55	3768	669158
56	3821	666702
57	3879	664991
58	3937	663515
59	4001	662947
60	4071	663434
61	4140	663678
62	4194	661644
63	4246	659333
64	4296	656731
65	4347	654327
66	4402	652651
67	4465	652221
68	4535	652818
69	4599	652509
70	4664	652328
71	4723	651264
72	4782	650409
73	4846	650024
74	4912	650104
75	4993	652105
76	5062	652443
77	5124	651861
78	5187	651503
79	5246	650627
80	5310	650300
81	5366	649118
82	5424	648179
83	5487	647759
84	5551	647509
85	5614	647233
86	5677	646876
87	5739	646531
88	5802	646189
89	5867	646090
90	5933	646054
91	5995	645704
92	6055	645112
93	6110	643955
94	6162	642469
95	6213	641042
